가입일자,사용자코드,연령대코드,성별,가입 수,,
2021-02-17,USR_001,AGE_004,M,19,,
2021-02-17,USR_001,AGE_005,F,7,,
2021-02-17,USR_001,AGE_005,M,18,,
2021-02-17,USR_001,AGE_006,M,5,,
2021-02-17,USR_001,AGE_007,F,1,,
2021-02-17,USR_001,AGE_008,F,23,,
2021-02-17,USR_001,AGE_008,M,14,,
2021-02-18,USR_001,AGE_001,F,39,,
2021-02-18,USR_001,AGE_001,M,44,,
2021-02-18,USR_001,AGE_002,F,73,,
2021-02-18,USR_001,AGE_002,M,66,,
2021-02-18,USR_001,AGE_003,F,36,,
2021-02-18,USR_001,AGE_003,M,38,,
2021-02-18,USR_001,AGE_004,F,29,,
2021-02-18,USR_001,AGE_004,M,38,,
2021-02-18,USR_001,AGE_005,F,13,,
2021-02-18,USR_001,AGE_005,M,17,,
2021-02-18,USR_001,AGE_006,F,6,,
2021-02-18,USR_001,AGE_006,M,9,,
2021-02-18,USR_001,AGE_008,F,28,,
2021-02-18,USR_001,AGE_008,M,14,,
2021-02-19,USR_001,AGE_001,F,90,,
2021-02-19,USR_001,AGE_001,M,80,,
2021-02-19,USR_001,AGE_002,F,244,,
2021-02-19,USR_001,AGE_002,M,213,,
2021-02-19,USR_001,AGE_003,F,74,,
2021-02-19,USR_001,AGE_003,M,94,,
2021-02-19,USR_001,AGE_004,F,46,,
2021-02-19,USR_001,AGE_004,M,49,,
2021-02-19,USR_001,AGE_005,F,26,,
2021-02-19,USR_001,AGE_005,M,25,,
2021-02-19,USR_001,AGE_006,F,4,,
2021-02-19,USR_001,AGE_006,M,5,,
2021-02-19,USR_001,AGE_007,F,1,,
2021-02-19,USR_001,AGE_008,F,22,,
2021-02-19,USR_001,AGE_008,M,23,,
2021-02-20,USR_001,AGE_001,F,277,,
2021-02-20,USR_001,AGE_001,M,232,,
2021-02-20,USR_001,AGE_002,F,776,,
2021-02-20,USR_001,AGE_002,M,629,,
2021-02-20,USR_001,AGE_003,F,283,,
2021-02-20,USR_001,AGE_003,M,304,,
2021-02-20,USR_001,AGE_004,F,202,,
2021-02-20,USR_001,AGE_004,M,169,,
2021-02-20,USR_001,AGE_005,F,71,,
2021-02-20,USR_001,AGE_005,M,98,,
2021-02-20,USR_001,AGE_006,F,17,,
2021-02-20,USR_001,AGE_006,M,21,,
2021-02-20,USR_001,AGE_007,F,4,,
2021-02-20,USR_001,AGE_007,M,3,,
2021-02-20,USR_001,AGE_008,F,31,,
2021-02-20,USR_001,AGE_008,M,25,,
2021-02-21,USR_001,AGE_001,F,437,,
2021-02-21,USR_001,AGE_001,M,336,,
2021-02-21,USR_001,AGE_002,F,1117,,
2021-02-21,USR_001,AGE_002,M,938,,
2021-02-21,USR_001,AGE_003,F,407,,
2021-02-21,USR_001,AGE_003,M,460,,
2021-02-21,USR_001,AGE_004,F,328,,
2021-02-21,USR_001,AGE_004,M,311,,
2021-02-21,USR_001,AGE_005,F,147,,
2021-02-21,USR_001,AGE_005,M,127,,
2021-02-21,USR_001,AGE_006,F,35,,
2021-02-21,USR_001,AGE_006,M,37,,
2021-02-21,USR_001,AGE_007,F,5,,
2021-02-21,USR_001,AGE_007,M,8,,
2021-02-21,USR_001,AGE_008,F,27,,
2021-02-21,USR_001,AGE_008,M,43,,
2021-02-22,USR_001,AGE_001,F,160,,
2021-02-22,USR_001,AGE_001,M,108,,
2021-02-22,USR_001,AGE_002,F,390,,
2021-02-22,USR_001,AGE_002,M,340,,
2021-02-22,USR_001,AGE_003,F,118,,
2021-02-22,USR_001,AGE_003,M,121,,
2021-02-22,USR_001,AGE_004,F,88,,
2021-02-22,USR_001,AGE_004,M,86,,
2021-02-22,USR_001,AGE_005,F,52,,
2021-02-22,USR_001,AGE_005,M,42,,
2021-02-22,USR_001,AGE_006,F,10,,
2021-02-22,USR_001,AGE_006,M,18,,
2021-02-22,USR_001,AGE_007,F,2,,
2021-02-22,USR_001,AGE_007,M,5,,
2021-02-22,USR_001,AGE_008,F,30,,
2021-02-22,USR_001,AGE_008,M,29,,
2021-02-23,USR_001,AGE_001,F,103,,
2021-02-23,USR_001,AGE_001,M,88,,
2021-02-23,USR_001,AGE_002,F,197,,
2021-02-23,USR_001,AGE_002,M,185,,
2021-02-23,USR_001,AGE_003,F,69,,
2021-02-23,USR_001,AGE_003,M,71,,
2021-02-23,USR_001,AGE_004,F,66,,
2021-02-23,USR_001,AGE_004,M,46,,
2021-02-23,USR_001,AGE_005,F,43,,
2021-02-23,USR_001,AGE_005,M,31,,
2021-02-23,USR_001,AGE_006,F,6,,
2021-02-23,USR_001,AGE_006,M,13,,
2021-02-23,USR_001,AGE_007,F,1,,
2021-02-23,USR_001,AGE_007,M,2,,
2021-02-23,USR_001,AGE_008,F,20,,
2021-02-23,USR_001,AGE_008,M,23,,
2021-02-24,USR_001,AGE_001,F,165,,
2021-02-24,USR_001,AGE_001,M,135,,
2021-02-24,USR_001,AGE_002,F,309,,
2021-02-24,USR_001,AGE_002,M,267,,
2021-02-24,USR_001,AGE_003,F,100,,
2021-02-24,USR_001,AGE_003,M,86,,
2021-02-24,USR_001,AGE_004,F,73,,
2021-02-24,USR_001,AGE_004,M,69,,
2021-02-24,USR_001,AGE_005,F,55,,
2021-02-24,USR_001,AGE_005,M,35,,
2021-02-24,USR_001,AGE_006,F,10,,
2021-02-24,USR_001,AGE_006,M,20,,
2021-02-24,USR_001,AGE_007,F,1,,
2021-02-24,USR_001,AGE_007,M,3,,
2021-02-24,USR_001,AGE_008,F,32,,
2021-02-24,USR_001,AGE_008,M,22,,
2021-02-25,USR_001,AGE_001,F,146,,
2021-02-25,USR_001,AGE_001,M,110,,
2021-02-25,USR_001,AGE_002,F,262,,
2021-02-25,USR_001,AGE_002,M,230,,
2021-02-25,USR_001,AGE_003,F,80,,
2021-02-25,USR_001,AGE_003,M,107,,
2021-02-25,USR_001,AGE_004,F,80,,
2021-02-25,USR_001,AGE_004,M,63,,
2021-02-25,USR_001,AGE_005,F,29,,
2021-02-25,USR_001,AGE_005,M,53,,
2021-02-25,USR_001,AGE_006,F,15,,
2021-02-25,USR_001,AGE_006,M,12,,
2021-02-25,USR_001,AGE_007,M,3,,
2021-02-25,USR_001,AGE_008,F,27,,
2021-02-25,USR_001,AGE_008,M,25,,
2021-02-26,USR_001,AGE_001,F,232,,
2021-02-26,USR_001,AGE_001,M,220,,
2021-02-26,USR_001,AGE_002,F,623,,
2021-02-26,USR_001,AGE_002,M,479,,
2021-02-26,USR_001,AGE_003,F,194,,
2021-02-26,USR_001,AGE_003,M,191,,
2021-02-26,USR_001,AGE_004,F,120,,
2021-02-26,USR_001,AGE_004,M,124,,
2021-02-26,USR_001,AGE_005,F,64,,
2021-02-26,USR_001,AGE_005,M,60,,
2021-02-26,USR_001,AGE_006,F,18,,
2021-02-26,USR_001,AGE_006,M,22,,
2021-02-26,USR_001,AGE_007,F,1,,
2021-02-26,USR_001,AGE_007,M,4,,
2021-02-26,USR_001,AGE_008,F,33,,
2021-02-26,USR_001,AGE_008,M,35,,
2021-02-27,USR_001,AGE_001,F,382,,
2021-02-27,USR_001,AGE_001,M,323,,
2021-02-27,USR_001,AGE_002,F,1140,,
2021-02-27,USR_001,AGE_002,M,983,,
